Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.5850e-06,810,172,-0.66,2.76
-4.5840e-06,810,176,-0.66,2.84
-4.5830e-06,810,172,-0.7,2.76
-4.5820e-06,810,176,-0.66,2.76
-4.5810e-06,790,176,-0.62,2.84
-4.5800e-06,810,172,-0.62,2.84
-4.5790e-06,830,176,-0.66,2.84
-4.5780e-06,830,172,-0.58,2.84
-4.5770e-06,810,180,-0.58,2.84
-4.5760e-06,830,168,-0.58,2.92
-4.5750e-06,770,176,-0.58,2.76
-4.5740e-06,810,168,-0.54,2.76
-4.5730e-06,750,172,-0.58,2.76
-4.5720e-06,830,180,-0.62,3
-4.5710e-06,810,172,-0.58,2.76
-4.5700e-06,830,176,-0.58,2.92
-4.5690e-06,810,180,-0.62,2.84
-4.5680e-06,810,172,-0.58,2.92
-4.5670e-06,810,172,-0.58,2.84
-4.5660e-06,810,168,-0.54,2.76
-4.5650e-06,810,176,-0.58,3
-4.5640e-06,810,180,-0.58,2.84
-4.5630e-06,850,176,-0.62,2.76
-4.5620e-06,850,172,-0.62,2.92
-4.5610e-06,810,172,-0.62,2.84
-4.5600e-06,830,176,-0.66,2.84
-4.5590e-06,810,172,-0.7,2.84
-4.5580e-06,830,172,-0.66,2.92
-4.5570e-06,810,168,-0.66,2.84
-4.5560e-06,830,176,-0.66,2.92
-4.5550e-06,850,176,-0.7,2.76
-4.5540e-06,830,172,-0.66,3
-4.5530e-06,810,168,-0.66,2.92
-4.5520e-06,830,172,-0.66,3
-4.5510e-06,810,176,-0.66,2.92
-4.5500e-06,830,172,-0.66,2.92
-4.5490e-06,790,168,-0.66,2.92
-4.5480e-06,830,168,-0.7,2.92
